abstraction	concept	True
ache	douleur	True
acid	substance_chimique	True
adrenaline	substance_chimique	True
affection	sentiment	True
aircraft	véhicule	True
aircrew	équipage	True
alcohol	fluide	True
alderman	représentant	True
ale	boisson_alcoolisée	True
ale	fluide	True
algebra	science	True
alley	rue	True
ambassador	diplomate	True
analogy	inférence	True
anger	émotion	True
anger	sentiment	True
animosity	émotion	True
animosity	sentiment	True
anorexia	désordre	True
anorexia	trouble	True
ant	insectes	True
ant	insecte	True
ant	invertébré	True
apathy	sentiment	True
ape	animal	True
ape	mammifères	True
ape	mammifère	True
aphid	insectes	True
aphid	insecte	True
apprehension	peur	True
aquarium	conteneur	True
armchair	chaise	True
army	organisation	True
aromatherapy	thérapie	True
artillery	armement	True
artiste	artiste	True
asp	lieu_de_travail	False
association	organisation	True
asthma	maladie	True
asthma	motel	False
asthma	tissu	False
athlete	danseur	False
athlete	joueur_de_cricket	False
athlete	nageur	False
athlete	pouliche	False
attorney	professionnel	True
automobile	véhicule	True
auto	trait	False
auto	véhicule	True
baby	progéniture	True
bacterium	micro-organisme	True
badminton	bouilloire	False
badminton	timbales	False
bag	collagène	False
bag	coup_de_brosse	False
bamboo	bois	True
bamboo	ours	False
ban	interprète	False
baritone	adrénaline	False
baritone	chanteur	True
baronetcy	statut	True
barrier	aile	False
barrier	butoir	False
barrier	obstruction	True
barrier	psychothérapie	False
basketball	jeu	True
basket	conteneur	True
basket	récipient	True
bassist	artiste	True
bassist	musicien	True
batsman	joueur	True
battleship	navire	True
bat	vertébré	True
bead	bijoux	True
bead	médaille	False
bean	légume	True
bear	carnivore	True
beard	cheveu	True
bear	mammifères	True
bear	mammifère	True
bear	vertébré	True
bear	webcam	False
bed	insectes	False
bed	meubles	True
bed	meuble	True
bee	animal	True
beech	arbre	True
beech	artillerie	False
beer	boisson	True
beer	chemin_de_fer	False
beer	liquide	True
beer	transport_ferroviaire	False
bend	courbe	True
benzene	chalet	False
benzene	chimique	True
benzene	hydrocarbure	True
benzene	substance_chimique	True
bereavement	émotion	True
beverage	art	False
beverage	fluide	True
beverage	inclinaison	False
beverage	liquide	True
beverage	liste	False
beverage	panda_géant	False
beverage	se_pavaner	False
beverage	symbole	False
beverage	thé	False
beverage	véhicule	False
beverage	whisky	False
beverage	xérès	False
bike	porte	False
bike	véhicule	True
bin	courrier	False
binder	interprète	False
binder	machine_simple	True
binder	notaire	False
bingo	jeu	True
biochemistry	chimie	True
biochemistry	science	True
biologist	scientifique	True
biotechnology	discipline	True
biplane	aéronef	True
biplane	avion	True
biplane	véhicule	True
bird	aigle	False
bird	animal	True
bird	artiste	False
bird	autoroute	False
bird	biscuit	False
bird	dinde	False
bird	manchot	False
bird	pic	False
bird	pic_vert	False
birthday	anniversaire	True
bishop	cardinal	False
bishop	vallée	False
bitterness	émotion	True
bitterness	sentiment	True
black	couleur	True
blaze	combustion	True
bluegrass	herbe	True
boar	mammifères	True
boar	mammifère	True
boar	porte-parole	False
boat	bateau_à_rames	False
boat	canot	False
boat	chaise	False
boat	ponton	False
bomber	avion	True
bonnet	hamster	False
bonnet	véhicule	False
bonnet	vêtements	True
bonnet	vêtement	True
book	fruit	False
